,occurance_count
12/21/2009,407
12/22/2009,454
12/23/2009,466
12/24/2009,427
12/25/2009,226
12/26/2009,366
12/27/2009,361
12/28/2009,447
12/29/2009,419
12/30/2009,458
12/31/2009,420
1/1/2010,430
1/2/2010,377
1/3/2010,290
1/4/2010,442
1/5/2010,402
1/6/2010,431
1/7/2010,449
1/8/2010,475
1/9/2010,376
1/10/2010,368
1/11/2010,378
1/12/2010,406
1/13/2010,399
1/14/2010,457
1/15/2010,532
1/16/2010,396
1/17/2010,349
1/18/2010,402
1/19/2010,435
1/20/2010,478
1/21/2010,426
1/22/2010,527
1/23/2010,423
1/24/2010,342
1/25/2010,434
1/26/2010,377
1/27/2010,435
1/28/2010,405
1/29/2010,453
1/30/2010,341
1/31/2010,300
2/1/2010,457
2/2/2010,409
2/3/2010,377
2/4/2010,387
2/5/2010,439
2/6/2010,321
2/7/2010,316
2/8/2010,313
2/9/2010,384
2/10/2010,214
2/11/2010,316
2/12/2010,419
2/13/2010,341
2/14/2010,252
2/15/2010,295
2/16/2010,299
2/17/2010,344
2/18/2010,370
2/19/2010,370
2/20/2010,371
2/21/2010,276
2/22/2010,387
2/23/2010,388
2/24/2010,375
2/25/2010,343
2/26/2010,260
2/27/2010,340
2/28/2010,260
3/1/2010,410
3/2/2010,376
3/3/2010,402
3/4/2010,385
3/5/2010,473
3/6/2010,346
3/7/2010,302
3/8/2010,441
3/9/2010,357
3/10/2010,402
3/11/2010,360
3/12/2010,450
3/13/2010,264
3/14/2010,305
3/15/2010,417
3/16/2010,350
3/17/2010,416
3/18/2010,407
3/19/2010,467
3/20/2010,390
3/21/2010,356
3/22/2010,383
3/23/2010,429
3/24/2010,447
3/25/2010,389
3/26/2010,444
3/27/2010,347
3/28/2010,366
3/29/2010,374
3/30/2010,331
3/31/2010,422
4/1/2010,493
4/2/2010,396
4/3/2010,381
4/4/2010,295
4/5/2010,381
4/6/2010,408
4/7/2010,431
4/8/2010,444
4/9/2010,437
4/10/2010,422
4/11/2010,337
4/12/2010,419
4/13/2010,432
4/14/2010,447
4/15/2010,416
4/16/2010,491
4/17/2010,388
4/18/2010,340
4/19/2010,440
4/20/2010,432
4/21/2010,432
4/22/2010,451
4/23/2010,491
4/24/2010,384
4/25/2010,305
4/26/2010,419
4/27/2010,397
4/28/2010,466
4/29/2010,451
4/30/2010,485
5/1/2010,432
5/2/2010,336
5/3/2010,413
5/4/2010,427
5/5/2010,486
5/6/2010,465
5/7/2010,491
5/8/2010,429
5/9/2010,325
5/10/2010,432
5/11/2010,415
5/12/2010,442
5/13/2010,429
5/14/2010,508
5/15/2010,402
5/16/2010,317
5/17/2010,422
5/18/2010,352
5/19/2010,435
5/20/2010,458
5/21/2010,489
5/22/2010,437
5/23/2010,327
5/24/2010,451
5/25/2010,467
5/26/2010,436
5/27/2010,423
5/28/2010,485
5/29/2010,447
5/30/2010,385
5/31/2010,361
6/1/2010,510
6/2/2010,414
6/3/2010,445
6/4/2010,529
6/5/2010,407
6/6/2010,362
6/7/2010,420
6/8/2010,447
6/9/2010,454
6/10/2010,459
6/11/2010,506
6/12/2010,404
6/13/2010,344
6/14/2010,441
6/15/2010,450
6/16/2010,433
6/17/2010,514
6/18/2010,510
6/19/2010,432
6/20/2010,411
6/21/2010,466
6/22/2010,425
6/23/2010,487
6/24/2010,460
6/25/2010,512
6/26/2010,438
6/27/2010,403
6/28/2010,492
6/29/2010,462
6/30/2010,507
7/1/2010,534
7/2/2010,479
7/3/2010,412
7/4/2010,382
7/5/2010,346
7/6/2010,435
7/7/2010,457
7/8/2010,466
7/9/2010,475
7/10/2010,451
7/11/2010,383
7/12/2010,469
7/13/2010,445
7/14/2010,486
7/15/2010,493
7/16/2010,517
7/17/2010,431
7/18/2010,377
7/19/2010,493
7/20/2010,461
7/21/2010,486
7/22/2010,508
7/23/2010,497
7/24/2010,439
7/25/2010,370
7/26/2010,523
7/27/2010,511
7/28/2010,459
7/29/2010,511
7/30/2010,485
7/31/2010,418
8/1/2010,437
8/2/2010,512
8/3/2010,425
8/4/2010,413
8/5/2010,453
8/6/2010,516
8/7/2010,425
8/8/2010,407
8/9/2010,448
8/10/2010,483
8/11/2010,493
8/12/2010,450
8/13/2010,487
8/14/2010,459
8/15/2010,416
8/16/2010,477
8/17/2010,469
8/18/2010,440
8/19/2010,479
8/20/2010,468
8/21/2010,407
8/22/2010,347
8/23/2010,442
8/24/2010,488
8/25/2010,456
8/26/2010,505
8/27/2010,494
8/28/2010,399
8/29/2010,391
8/30/2010,478
8/31/2010,466
9/1/2010,494
9/2/2010,450
9/3/2010,491
9/4/2010,437
9/5/2010,390
9/6/2010,403
9/7/2010,443
9/8/2010,545
9/9/2010,475
9/10/2010,536
9/11/2010,435
9/12/2010,372
9/13/2010,445
9/14/2010,488
9/15/2010,509
9/16/2010,458
9/17/2010,520
9/18/2010,460
9/19/2010,401
9/20/2010,450
9/21/2010,499
9/22/2010,481
9/23/2010,498
9/24/2010,531
9/25/2010,456
9/26/2010,391
9/27/2010,464
9/28/2010,454
9/29/2010,488
9/30/2010,474
10/1/2010,541
10/2/2010,475
10/3/2010,380
10/4/2010,424
10/5/2010,506
10/6/2010,474
10/7/2010,491
10/8/2010,492
10/9/2010,446
10/10/2010,392
10/11/2010,425
10/12/2010,458
10/13/2010,484
10/14/2010,503
10/15/2010,531
10/16/2010,456
10/17/2010,375
10/18/2010,456
10/19/2010,432
10/20/2010,496
10/21/2010,509
10/22/2010,566
10/23/2010,431
10/24/2010,393
10/25/2010,471
10/26/2010,509
10/27/2010,479
10/28/2010,505
10/29/2010,502
10/30/2010,412
10/31/2010,389
11/1/2010,471
11/2/2010,411
11/3/2010,451
11/4/2010,392
11/5/2010,495
11/6/2010,387
11/7/2010,385
11/8/2010,396
11/9/2010,446
11/10/2010,468
11/11/2010,392
11/12/2010,528
11/13/2010,426
11/14/2010,385
11/15/2010,466
11/16/2010,420
11/17/2010,519
11/18/2010,495
11/19/2010,490
11/20/2010,456
11/21/2010,336
11/22/2010,469
11/23/2010,431
11/24/2010,499
11/25/2010,253
11/26/2010,530
11/27/2010,468
11/28/2010,359
11/29/2010,458
11/30/2010,473
12/1/2010,513
12/2/2010,429
12/3/2010,481
12/4/2010,411
12/5/2010,310
12/6/2010,428
12/7/2010,424
12/8/2010,399
12/9/2010,395
12/10/2010,513
12/11/2010,446
12/12/2010,317
12/13/2010,443
12/14/2010,392
12/15/2010,440
12/16/2010,441
12/17/2010,514
12/18/2010,429
12/19/2010,339
12/20/2010,432
12/21/2010,495
12/22/2010,496
12/23/2010,531
12/24/2010,447
12/25/2010,210
12/26/2010,228
12/27/2010,134
12/28/2010,259
12/29/2010,291
12/30/2010,376
12/31/2010,404
1/1/2011,438
1/2/2011,275
1/3/2011,375
1/4/2011,400
1/5/2011,391
1/6/2011,392
1/7/2011,402
1/8/2011,326
1/9/2011,275
1/10/2011,370
1/11/2011,404
1/12/2011,290
1/13/2011,360
1/14/2011,433
1/15/2011,423
1/16/2011,340
1/17/2011,318
1/18/2011,391
1/19/2011,386
1/20/2011,404
1/21/2011,414
1/22/2011,323
1/23/2011,308
1/24/2011,352
1/25/2011,373
1/26/2011,318
1/27/2011,254
1/28/2011,316
1/29/2011,330
1/30/2011,309
1/31/2011,337
2/1/2011,397
2/2/2011,314
2/3/2011,364
2/4/2011,429
2/5/2011,341
2/6/2011,314
2/7/2011,340
2/8/2011,367
2/9/2011,401
2/10/2011,422
2/11/2011,450
2/12/2011,358
2/13/2011,307
2/14/2011,378
2/15/2011,408
2/16/2011,396
2/17/2011,408
2/18/2011,430
2/19/2011,335
2/20/2011,308
2/21/2011,293
2/22/2011,358
2/23/2011,401
2/24/2011,364
2/25/2011,389
2/26/2011,377
2/27/2011,317
2/28/2011,362
3/1/2011,451
3/2/2011,386
3/3/2011,384
3/4/2011,446
3/5/2011,384
3/6/2011,287
3/7/2011,376
3/8/2011,392
3/9/2011,418
3/10/2011,415
3/11/2011,451
3/12/2011,425
3/13/2011,315
3/14/2011,390
3/15/2011,414
